[2026-04-03 13:11:16,616] 17 networksecurity.logging - INFO - Entered the DataIngestionStage
[2026-04-03 13:11:27,417] 65 networksecurity.logging - INFO - Performed train test split on the dataframe
[2026-04-03 13:11:27,417] 66 networksecurity.logging - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-04-03 13:11:27,432] 73 networksecurity.logging - INFO - Exporting train and test file path
[2026-04-03 13:11:27,771] 83 networksecurity.logging - INFO - Exporting train and test file path
[2026-04-03 13:11:27,772] 19 networksecurity.logging - INFO - Data Ingestion Completed now turn for Data Validation
[2026-04-03 13:11:27,788] 25 networksecurity.logging - INFO - Data Validation initialized
[2026-04-03 13:11:27,825] 32 networksecurity.logging - INFO - Require number of columns=31
[2026-04-03 13:11:27,825] 33 networksecurity.logging - INFO - DataFrames columns number 31
[2026-04-03 13:11:27,825] 32 networksecurity.logging - INFO - Require number of columns=31
[2026-04-03 13:11:27,825] 33 networksecurity.logging - INFO - DataFrames columns number 31
[2026-04-03 13:11:28,435] 27 networksecurity.logging - INFO - Data Validation Completed
[2026-04-03 13:11:28,436] 36 networksecurity.logging - INFO - Data Transformation Initiated
[2026-04-03 13:11:28,437] 57 networksecurity.logging - INFO - Enter initiate_data_transformation method of DataTransformation class
[2026-04-03 13:11:28,437] 59 networksecurity.logging - INFO - Started Data Transformation
[2026-04-03 13:11:28,481] 45 networksecurity.logging - INFO - Entered get_data_transformer_object class
[2026-04-03 13:11:28,482] 50 networksecurity.logging - INFO - Initialise KNN Imputer with{'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} params
[2026-04-03 13:11:28,507] 49 networksecurity.logging - INFO - Entered the save_object method of mainutils class
[2026-04-03 13:11:28,521] 55 networksecurity.logging - INFO - Exited the save_object method of MainUtils class
[2026-04-03 13:11:28,524] 38 networksecurity.logging - INFO - Data Transformation Completed
[2026-04-03 13:11:28,524] 43 networksecurity.logging - INFO - Model Training Started
[2026-04-03 13:17:30,262] 49 networksecurity.logging - INFO - Entered the save_object method of mainutils class
[2026-04-03 13:17:30,288] 55 networksecurity.logging - INFO - Exited the save_object method of MainUtils class
[2026-04-03 13:17:30,290] 107 networksecurity.logging - INFO - Model trainer artifact ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_03_2026_13_11_13\\model_trainer\\trained_model', trained_metric_artifact=ClassificationMetricArtifact(f1_score=0.9916490592614952, precision_score=0.9887640449438202, recall_score=0.9945509586276489), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9916490592614952, precision_score=0.9887640449438202, recall_score=0.9945509586276489))
[2026-04-03 13:17:30,290] 47 networksecurity.logging - INFO - Model Training completed
