[2026-04-03 16:46:00,296] 17 networksecurity.logging - INFO - Entered the DataIngestionStage
[2026-04-03 16:46:14,970] 65 networksecurity.logging - INFO - Performed train test split on the dataframe
[2026-04-03 16:46:14,970] 66 networksecurity.logging - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-04-03 16:46:14,972] 73 networksecurity.logging - INFO - Exporting train and test file path
[2026-04-03 16:46:15,312] 83 networksecurity.logging - INFO - Exporting train and test file path
[2026-04-03 16:46:15,313] 19 networksecurity.logging - INFO - Data Ingestion Completed now turn for Data Validation
[2026-04-03 16:46:15,321] 25 networksecurity.logging - INFO - Data Validation initialized
[2026-04-03 16:46:15,359] 32 networksecurity.logging - INFO - Require number of columns=31
[2026-04-03 16:46:15,359] 33 networksecurity.logging - INFO - DataFrames columns number 31
[2026-04-03 16:46:15,359] 32 networksecurity.logging - INFO - Require number of columns=31
[2026-04-03 16:46:15,359] 33 networksecurity.logging - INFO - DataFrames columns number 31
[2026-04-03 16:46:15,824] 27 networksecurity.logging - INFO - Data Validation Completed
[2026-04-03 16:46:15,824] 36 networksecurity.logging - INFO - Data Transformation Initiated
[2026-04-03 16:46:15,825] 57 networksecurity.logging - INFO - Enter initiate_data_transformation method of DataTransformation class
[2026-04-03 16:46:15,825] 59 networksecurity.logging - INFO - Started Data Transformation
[2026-04-03 16:46:15,895] 45 networksecurity.logging - INFO - Entered get_data_transformer_object class
[2026-04-03 16:46:15,896] 50 networksecurity.logging - INFO - Initialise KNN Imputer with{'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} params
[2026-04-03 16:46:15,924] 49 networksecurity.logging - INFO - Entered the save_object method of mainutils class
[2026-04-03 16:46:15,935] 55 networksecurity.logging - INFO - Exited the save_object method of MainUtils class
[2026-04-03 16:46:15,937] 38 networksecurity.logging - INFO - Data Transformation Completed
[2026-04-03 16:46:15,938] 43 networksecurity.logging - INFO - Model Training Started
[2026-04-03 16:48:45,002] 49 networksecurity.logging - INFO - Entered the save_object method of mainutils class
[2026-04-03 16:48:45,024] 55 networksecurity.logging - INFO - Exited the save_object method of MainUtils class
[2026-04-03 16:48:45,025] 112 networksecurity.logging - INFO - Model trainer artifact ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_03_2026_16_45_51\\model_trainer\\trained_model', trained_metric_artifact=ClassificationMetricArtifact(f1_score=0.9903284303848479, precision_score=0.9873443149859381, recall_score=0.9933306386418755), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9903284303848479, precision_score=0.9873443149859381, recall_score=0.9933306386418755))
[2026-04-03 16:48:45,027] 47 networksecurity.logging - INFO - Model Training completed
