[2026-04-02 19:16:28,499] 17 networksecurity.logging - INFO - Entered the DataIngestionStage
[2026-04-02 19:16:32,479] 65 networksecurity.logging - INFO - Performed train test split on the dataframe
[2026-04-02 19:16:32,479] 66 networksecurity.logging - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-04-02 19:16:32,479] 73 networksecurity.logging - INFO - Exporting train and test file path
[2026-04-02 19:16:32,843] 83 networksecurity.logging - INFO - Exporting train and test file path
[2026-04-02 19:16:32,844] 19 networksecurity.logging - INFO - Data Ingestion Completed now turn for Data Validation
[2026-04-02 19:16:32,852] 25 networksecurity.logging - INFO - Data Validation initialized
[2026-04-02 19:16:32,912] 32 networksecurity.logging - INFO - Require number of columns=31
[2026-04-02 19:16:32,912] 33 networksecurity.logging - INFO - DataFrames columns number 31
[2026-04-02 19:16:32,912] 32 networksecurity.logging - INFO - Require number of columns=31
[2026-04-02 19:16:32,912] 33 networksecurity.logging - INFO - DataFrames columns number 31
[2026-04-02 19:16:33,392] 27 networksecurity.logging - INFO - Data Validation Completed
[2026-04-02 19:16:33,392] 36 networksecurity.logging - INFO - Data Transformation Initiated
[2026-04-02 19:16:33,392] 57 networksecurity.logging - INFO - Enter initiate_data_transformation method of DataTransformation class
[2026-04-02 19:16:33,392] 59 networksecurity.logging - INFO - Started Data Transformation
[2026-04-02 19:16:33,474] 45 networksecurity.logging - INFO - Entered get_data_transformer_object class
[2026-04-02 19:16:33,474] 50 networksecurity.logging - INFO - Initialise KNN Imputer with{'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} params
