[2026-04-03 12:30:39,505] 17 networksecurity.logging - INFO - Entered the DataIngestionStage
[2026-04-03 12:30:42,266] 65 networksecurity.logging - INFO - Performed train test split on the dataframe
[2026-04-03 12:30:42,266] 66 networksecurity.logging - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-04-03 12:30:42,266] 73 networksecurity.logging - INFO - Exporting train and test file path
[2026-04-03 12:30:42,607] 83 networksecurity.logging - INFO - Exporting train and test file path
[2026-04-03 12:30:42,607] 19 networksecurity.logging - INFO - Data Ingestion Completed now turn for Data Validation
[2026-04-03 12:30:42,612] 25 networksecurity.logging - INFO - Data Validation initialized
[2026-04-03 12:30:42,677] 32 networksecurity.logging - INFO - Require number of columns=31
[2026-04-03 12:30:42,678] 33 networksecurity.logging - INFO - DataFrames columns number 31
[2026-04-03 12:30:42,678] 32 networksecurity.logging - INFO - Require number of columns=31
[2026-04-03 12:30:42,679] 33 networksecurity.logging - INFO - DataFrames columns number 31
[2026-04-03 12:30:43,113] 27 networksecurity.logging - INFO - Data Validation Completed
[2026-04-03 12:30:43,113] 36 networksecurity.logging - INFO - Data Transformation Initiated
[2026-04-03 12:30:43,113] 57 networksecurity.logging - INFO - Enter initiate_data_transformation method of DataTransformation class
[2026-04-03 12:30:43,113] 59 networksecurity.logging - INFO - Started Data Transformation
[2026-04-03 12:30:43,214] 45 networksecurity.logging - INFO - Entered get_data_transformer_object class
[2026-04-03 12:30:43,214] 50 networksecurity.logging - INFO - Initialise KNN Imputer with{'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} params
[2026-04-03 12:30:43,256] 49 networksecurity.logging - INFO - Entered the save_object method of mainutils class
[2026-04-03 12:30:43,266] 55 networksecurity.logging - INFO - Exited the save_object method of MainUtils class
[2026-04-03 12:30:43,266] 38 networksecurity.logging - INFO - Data Transformation Completed
[2026-04-03 12:30:43,270] 43 networksecurity.logging - INFO - Model Training Started
