[2026-04-03 12:26:21,986] 17 networksecurity.logging - INFO - Entered the DataIngestionStage
[2026-04-03 12:26:25,597] 65 networksecurity.logging - INFO - Performed train test split on the dataframe
[2026-04-03 12:26:25,597] 66 networksecurity.logging - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-04-03 12:26:25,597] 73 networksecurity.logging - INFO - Exporting train and test file path
[2026-04-03 12:26:25,934] 83 networksecurity.logging - INFO - Exporting train and test file path
[2026-04-03 12:26:25,935] 19 networksecurity.logging - INFO - Data Ingestion Completed now turn for Data Validation
[2026-04-03 12:26:25,949] 25 networksecurity.logging - INFO - Data Validation initialized
[2026-04-03 12:26:26,022] 32 networksecurity.logging - INFO - Require number of columns=31
[2026-04-03 12:26:26,023] 33 networksecurity.logging - INFO - DataFrames columns number 31
[2026-04-03 12:26:26,023] 32 networksecurity.logging - INFO - Require number of columns=31
[2026-04-03 12:26:26,023] 33 networksecurity.logging - INFO - DataFrames columns number 31
[2026-04-03 12:26:26,559] 27 networksecurity.logging - INFO - Data Validation Completed
[2026-04-03 12:26:26,559] 36 networksecurity.logging - INFO - Data Transformation Initiated
[2026-04-03 12:26:26,559] 57 networksecurity.logging - INFO - Enter initiate_data_transformation method of DataTransformation class
[2026-04-03 12:26:26,559] 59 networksecurity.logging - INFO - Started Data Transformation
[2026-04-03 12:26:26,670] 45 networksecurity.logging - INFO - Entered get_data_transformer_object class
[2026-04-03 12:26:26,670] 50 networksecurity.logging - INFO - Initialise KNN Imputer with{'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} params
[2026-04-03 12:26:26,718] 49 networksecurity.logging - INFO - Entered the save_object method of mainutils class
[2026-04-03 12:26:26,732] 55 networksecurity.logging - INFO - Exited the save_object method of MainUtils class
[2026-04-03 12:26:26,734] 38 networksecurity.logging - INFO - Data Transformation Completed
[2026-04-03 12:26:26,734] 43 networksecurity.logging - INFO - Model Training Started
